,kmeans,gauss,archetype
0,0.6129288912845297,0.8970948912446493,normal_highlyvariable
1,0.5046225350461251,0.7586352382445407,nonnormal_highlyvariable
2,0.4420853125189912,0.6921059935347006,heavytails_med_highlyvariable
3,0.14055540699251518,0.4250086559949906,heavytails_hard_highlyvariable
4,0.010298455940196028,0.19671614146016939,heavytails_hardhard_highlyvariable
5,0.47814124995719876,0.7338168855624261,normal_highlyvariable
6,0.44644609841881105,0.838786440078256,nonnormal_highlyvariable
7,0.3787527136428146,0.672452418916828,heavytails_med_highlyvariable
8,0.11599392086811482,0.29021039104641,heavytails_hard_highlyvariable
9,0.0001231064926240861,0.08993927585950234,heavytails_hardhard_highlyvariable
10,0.4997965581768632,0.7308457726248232,normal_highlyvariable
11,0.5463158347662546,0.8238779172873564,nonnormal_highlyvariable
12,0.41972031214577593,0.6421230611384527,heavytails_med_highlyvariable
13,0.1611016242985174,0.3583341396531704,heavytails_hard_highlyvariable
14,0.0014329170889638976,0.09559934148435177,heavytails_hardhard_highlyvariable
15,0.6207761432680922,0.9109633259240604,normal_highlyvariable
16,0.4978750706934257,0.7687047822889211,nonnormal_highlyvariable
17,0.5154948351732028,0.6799050320552613,heavytails_med_highlyvariable
18,0.14188943071701673,0.43584711173745394,heavytails_hard_highlyvariable
19,0.0015605377946879542,0.07585949017715932,heavytails_hardhard_highlyvariable
20,0.5397286300340607,0.8049916877442072,normal_highlyvariable
21,0.5578012718626182,0.7469658476463217,nonnormal_highlyvariable
22,0.4128019328761245,0.768111229409688,heavytails_med_highlyvariable
23,0.13508116643748427,0.47442459189466196,heavytails_hard_highlyvariable
24,0.0001082879161870069,0.06114385059600974,heavytails_hardhard_highlyvariable
25,0.5757317843847585,0.7980350529389469,normal_highlyvariable
26,0.43385251513879936,0.6759274632107306,nonnormal_highlyvariable
27,0.4520784455030173,0.7250779924230463,heavytails_med_highlyvariable
28,0.22035807708963728,0.46240141875566926,heavytails_hard_highlyvariable
29,0.011493432395058137,0.23653109491281102,heavytails_hardhard_highlyvariable
30,0.5818296908138033,0.9026930417693523,normal_highlyvariable
31,0.5309289537792692,0.6639322628841876,nonnormal_highlyvariable
32,0.4756047509151827,0.6597178964187337,heavytails_med_highlyvariable
33,0.19825210088406328,0.3211389851147063,heavytails_hard_highlyvariable
34,0.008314244549612246,0.2215227944369563,heavytails_hardhard_highlyvariable
35,0.48839130359643546,0.8253178526412804,normal_highlyvariable
36,0.5765352917671123,0.7626606292563766,nonnormal_highlyvariable
37,0.4820929139099337,0.6155901828319843,heavytails_med_highlyvariable
38,0.17098020008506415,0.40445504244805713,heavytails_hard_highlyvariable
39,0.014829556615153042,0.22976935027781098,heavytails_hardhard_highlyvariable
40,0.647468527583688,0.8413559225602495,normal_highlyvariable
41,0.549398898262707,0.7464931128034156,nonnormal_highlyvariable
42,0.5938229831156379,0.7726399530693139,heavytails_med_highlyvariable
43,0.12838868533976025,0.3506324606181705,heavytails_hard_highlyvariable
44,0.011746171201547724,0.17317996775119585,heavytails_hardhard_highlyvariable
45,0.6514237965297986,0.821068211799369,normal_highlyvariable
46,0.4883192576618726,0.7054517140865744,nonnormal_highlyvariable
47,0.3866976922809031,0.638921470343029,heavytails_med_highlyvariable
48,0.15817803563840063,0.3632595338400809,heavytails_hard_highlyvariable
49,-0.0003163352907207157,0.00010004040209781813,heavytails_hardhard_highlyvariable
50,0.4855632262450247,0.8044887875799889,normal_highlyvariable
51,0.5294683563856849,0.8236752607813023,nonnormal_highlyvariable
52,0.5008958437298381,0.7161643906667395,heavytails_med_highlyvariable
53,0.12659996812790497,0.3718593254931431,heavytails_hard_highlyvariable
54,0.005167227517404396,0.23067481848184257,heavytails_hardhard_highlyvariable
55,0.6287276583896645,0.8340536575686005,normal_highlyvariable
56,0.3950946505912191,0.635905007075013,nonnormal_highlyvariable
57,0.47441893056641554,0.6944693397880048,heavytails_med_highlyvariable
58,0.14044558510517852,0.3200599878529672,heavytails_hard_highlyvariable
59,-4.278957473802604e-05,0.06945744339063202,heavytails_hardhard_highlyvariable
60,0.542046250754305,0.7147489459815619,normal_highlyvariable
61,0.4495042744718899,0.7476433750662531,nonnormal_highlyvariable
62,0.4099640445160413,0.7038028228983545,heavytails_med_highlyvariable
63,0.1257068577847385,0.37423326928229755,heavytails_hard_highlyvariable
64,0.00898966944454791,0.19161815701655222,heavytails_hardhard_highlyvariable
65,0.5724835176854522,0.81339256464336,normal_highlyvariable
66,0.5380144958276417,0.7188890511036132,nonnormal_highlyvariable
67,0.4623734719577442,0.6981342633534322,heavytails_med_highlyvariable
68,0.2352508361598886,0.4082875802919177,heavytails_hard_highlyvariable
69,0.00434912123636033,0.19019615396915365,heavytails_hardhard_highlyvariable
70,0.5996433236727718,0.8173270633129253,normal_highlyvariable
71,0.5500788773751246,0.7458970299410606,nonnormal_highlyvariable
72,0.38792192558435934,0.6293325768192876,heavytails_med_highlyvariable
73,0.1746018327582643,0.5011842638377711,heavytails_hard_highlyvariable
74,0.0037010341675829655,0.20410839719607954,heavytails_hardhard_highlyvariable
75,0.5227475322107091,0.7201684995497399,normal_highlyvariable
76,0.5399772352264074,0.8331549801180784,nonnormal_highlyvariable
77,0.2783177558409074,0.6427851994014012,heavytails_med_highlyvariable
78,0.16259978542965184,0.4410026172096929,heavytails_hard_highlyvariable
79,0.009133390309381623,0.2112957466863831,heavytails_hardhard_highlyvariable
80,0.6081560826577393,0.8986897368199238,normal_highlyvariable
81,0.5036277716938677,0.7453724155735485,nonnormal_highlyvariable
82,0.4163989332399451,0.6934089557224057,heavytails_med_highlyvariable
83,0.2985162676235629,0.483271247840337,heavytails_hard_highlyvariable
84,0.0027358392079134897,0.21720501068187645,heavytails_hardhard_highlyvariable
